#{"t_start": 1723735176.6394598, "env_id": "Cobrinha"}
r,l,t
3783.0,57,110.452806
39691.0,280,111.360524
20622.0,135,111.775514
10606.0,102,112.08652
10940.0,90,112.359513
13366.0,141,112.780516
11015.0,71,112.993557
13404.0,96,113.274557
12952.0,124,113.639514
20405.0,146,114.086503
-598.0,7,114.108505
-688.0,11,114.143306
8645.0,63,114.334316
-514.0,2,114.336074
27718.0,194,114.924006
11159.0,75,115.143961
13274.0,111,115.483972
20495.0,145,115.924969
13118.0,111,116.301955
-564.0,9,116.328955
-601.0,8,116.360955
29267.0,266,117.342954
8794.0,44,117.500954
15425.0,143,117.935966
10164.0,125,118.304351
10444.0,113,118.63766
8068.0,95,118.919379
15609.0,128,119.299404
-596.0,4,119.310409
6691.0,50,119.455315
12914.0,132,119.85017
-625.0,8,119.874167
-587.0,5,119.894208
17843.0,160,120.388209
-521.0,1,120.389208
-546.0,3,120.400167
10989.0,78,120.63217
15987.0,95,120.928157
17249.0,185,121.48917
8596.0,67,121.696158
13092.0,114,122.036188
8310.0,87,122.330773
-590.0,6,122.354773
1620.0,38,122.491773
8695.0,52,122.665769
13593.0,110,122.993769
13747.0,61,123.171769
11072.0,78,123.397781
8620.0,57,123.57082
8424.0,82,123.810785
15278.0,141,126.058363
13284.0,96,126.349159
15491.0,133,126.758139
10748.0,104,127.071189
15480.0,144,127.50119
13311.0,102,127.800163
20494.0,151,128.252152
13331.0,99,128.55345
15171.0,147,128.983458
20404.0,189,129.569845
12716.0,153,130.022844
12850.0,131,130.422836
16114.0,80,130.661895
8260.0,85,130.91785
10857.0,95,131.207837
6616.0,44,131.340839
10843.0,100,131.642889
8564.0,58,131.815879
10312.0,116,132.165836
19701.0,193,132.747836
-552.0,5,132.768836
29470.0,257,133.530834
19589.0,217,134.173802
11323.0,89,134.44307
18044.0,142,134.869071
8123.0,101,135.175069
8210.0,92,135.495085
15755.0,109,135.877085
11044.0,69,136.095068
13168.0,111,136.432093
18140.0,131,136.835134
-522.0,1,136.836132
13181.0,112,137.180172
25770.0,166,137.697159
25377.0,174,138.219154
13558.0,77,138.457144
19876.0,218,139.095157
-668.0,12,139.13115
12950.0,125,139.496143
18669.0,89,139.763146
18142.0,119,140.112197
-740.0,12,140.147158
22637.0,187,140.727145
22886.0,172,141.256355
10581.0,126,141.638378
25361.0,180,142.185325
-710.0,13,142.223324
-1282.0,48,142.369328
-555.0,2,142.371329
10660.0,97,142.668329
22232.0,203,143.259333
4154.0,45,143.410331
15300.0,143,143.822596
27584.0,204,144.42865
11002.0,80,144.682687
20526.0,157,145.159567
-740.0,12,145.196556
16086.0,92,145.475563
25525.0,162,145.961514
10973.0,87,146.231513
28062.0,196,146.824514
12300.0,159,147.312557
8424.0,78,147.540515
8269.0,91,147.874517
8695.0,61,148.090514
20578.0,148,148.599514
13179.0,113,148.968514
12749.0,145,149.406568
15519.0,142,149.817513
17681.0,160,150.330562
15865.0,109,150.661526
13491.0,91,150.944514
8573.0,63,151.139544
32469.0,238,151.867526
18173.0,128,152.251494
8109.0,97,152.550643
13089.0,121,152.909359
-668.0,12,152.944358
-540.0,2,152.946361
13363.0,89,153.22236
10837.0,103,153.524413
12709.0,139,153.937359
15790.0,119,154.291359
13526.0,88,154.557359
8733.0,54,154.710404
15604.0,128,155.09336
20809.0,131,155.49137
-685.0,12,155.530359
8524.0,75,155.760371
8280.0,89,156.02636
15840.0,106,158.23069
17338.0,197,158.838677
25401.0,171,159.346728
10677.0,99,159.631757
11625.0,67,159.831583
8591.0,74,160.054567
17888.0,140,160.477567
8331.0,79,160.712569
8336.0,79,160.955571
28230.0,161,161.446606
20298.0,160,161.930585
8514.0,76,162.160585
10769.0,107,162.48858
18147.0,122,162.86047
15397.0,139,163.27144
8483.0,74,163.491415
47247.0,317,164.43257
4324.0,33,164.530647
11163.0,63,164.717656
10962.0,74,164.938643
13335.0,107,165.246345
15184.0,169,165.773335
4261.0,36,165.882388
13031.0,117,166.238334
10478.0,106,166.556335
8499.0,73,166.78338
8470.0,70,166.994346
9958.0,144,167.432332
19751.0,192,168.012345
17770.0,148,168.459328
-519.0,2,168.469329
10574.0,110,168.793328
17462.0,176,169.314347
1087.0,72,169.528818
8287.0,110,169.855774
10883.0,93,170.130794
10085.0,130,170.515322
12623.0,149,171.030323
31769.0,284,171.948377
-574.0,3,171.951321
-516.0,1,171.960372
-651.0,5,171.97432
8336.0,87,172.24032
-591.0,11,172.267322
8394.0,70,172.483348
11102.0,73,172.702891
15792.0,109,173.033893
8217.0,102,173.34094
8212.0,95,173.624946
17725.0,157,174.105899
8368.0,74,174.321904
15032.0,150,174.77189
8411.0,84,175.020905
10598.0,112,175.35932
31737.0,292,176.264321
27238.0,212,176.923321
13179.0,112,177.270307
8513.0,70,177.480321
8639.0,65,177.685321
13598.0,65,177.879309
17655.0,170,178.383364
10935.0,73,178.612189
10890.0,89,178.871178
8135.0,93,179.190126
15827.0,105,179.558128
10999.0,78,179.837158
18179.0,122,180.266361
-601.0,5,180.290395
-770.0,16,180.337412
20465.0,156,180.825178
8447.0,73,181.048131
1701.0,25,181.124143
6174.0,96,181.411138
7849.0,105,181.727184
18247.0,116,182.079132
8437.0,79,182.31913
13441.0,95,182.613141
13241.0,110,182.94213
18091.0,142,183.370129
-522.0,1,183.370129
-588.0,4,183.382183
8536.0,71,183.593467
23348.0,125,183.960458
15177.0,135,184.359639
22342.0,201,184.952638
27094.0,236,185.662638
20424.0,149,186.118679
10888.0,94,186.404691
8201.0,96,186.699639
8585.0,70,186.908647
8494.0,71,187.127651
15995.0,88,187.397641
7644.0,139,187.821651
23196.0,137,188.23565
8406.0,76,188.470647
-606.0,6,188.491647
15935.0,136,190.287768
32158.0,242,191.023957
10481.0,113,191.366021
8527.0,67,191.570052
6340.0,74,191.798087
20707.0,129,192.190036
15630.0,115,192.548507
-564.0,4,192.559509
10294.0,131,192.951532
13471.0,100,193.249525
7551.0,126,193.635557
18056.0,141,194.051507
13166.0,100,194.350509
20629.0,143,194.777522
51768.0,339,195.790823
35124.0,221,196.464832
-546.0,3,196.475827
15153.0,165,196.978872
25228.0,176,197.510824
24887.0,208,198.135815
-511.0,5,198.149816
10811.0,99,198.449825
8620.0,55,198.614825
22774.0,179,199.139344
8654.0,55,199.306341
22532.0,200,199.900874
22047.0,214,200.544873
8477.0,114,200.884874
15579.0,126,201.277886
-657.0,10,201.304876
20515.0,130,201.719873
22612.0,167,202.221889
8422.0,86,202.493886
-556.0,11,202.531874
-621.0,16,202.579923
8417.0,69,202.784873
11034.0,82,203.032888
13189.0,109,203.369878
8017.0,100,203.679886
27902.0,168,204.182887
12856.0,146,204.618884
8287.0,85,204.900883
20554.0,138,205.317203
19730.0,204,205.937097
10706.0,100,206.241099
10844.0,95,206.537112
15489.0,123,206.909108
13195.0,118,207.269109
38097.0,387,208.454109
13501.0,88,208.722098
-621.0,7,208.736101
27796.0,195,209.32311
12956.0,135,209.726147
18499.0,97,210.014907
8203.0,91,210.284499
